state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1905,982,983,1015,0.0007250000000000001,4.875e-06,0.0007250000000000001,4.95e-06,0.00075,4.875e-06,0.0007333333333333333,4.9e-06,7.333333333333333,49.0,-17.313410409683666,-15.679836969141698,-15.6798369691417,1.633510324555833,-6.311598613394721e-05,-6.311598613394721e-05,-16.224361449322355,0.5444613641945216,16.233494467161343,16.249991331099036,17.390300054759642,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1906,982,1014,1015,0.0007250000000000001,4.875e-06,0.00075,4.8e-06,0.00075,4.875e-06,0.0007416666666666666,4.85e-06,7.416666666666666,48.5,-15.6798369691417,-15.679836969141698,-14.308152327355865,-6.833455475607876e-05,-6.833455475607876e-05,-1.3717529763405913,-15.222608755213088,-0.4572965484833678,15.229475941329857,15.24447743122836,15.679836969290605,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1907,983,984,1016,0.0007250000000000001,4.95e-06,0.0007250000000000001,5.025e-06,0.00075,4.95e-06,0.0007333333333333333,4.975e-06,7.333333333333333,49.75,-21.450376122698085,-19.18873003570074,-19.18873003570074,2.2615898523896742,-5.623460766883863e-05,-5.623460766883863e-05,-19.942612064699855,0.7538257943914455,19.95685419326909,19.982243481847192,21.56927037397529,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1908,983,1015,1016,0.0007250000000000001,4.95e-06,0.00075,4.875e-06,0.00075,4.95e-06,0.0007416666666666666,4.925e-06,7.416666666666666,49.25,-19.18873003570074,-19.18873003570074,-17.323905603381142,-6.31422832634065e-05,-6.31422832634065e-05,-1.8648875746028604,-18.56712189159421,-0.6216712863897957,18.577526491049298,18.60048415591665,19.188730035804628,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1909,984,985,1017,0.0007250000000000001,5.025e-06,0.0007250000000000001,5.1e-06,0.00075,5.025e-06,0.0007333333333333333,5.05e-06,7.333333333333333,50.5,-27.3497038366238,-24.09118894927501,-24.091188949275015,3.2584675841977906,-4.7303150997990185e-05,-4.7303150997990185e-05,-25.177360578391273,1.0861243259652649,25.200776808380024,25.241835365649536,27.543128198305695,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1910,984,1016,1017,0.0007250000000000001,5.025e-06,0.00075,4.95e-06,0.00075,5.025e-06,0.0007416666666666666,5e-06,7.416666666666666,50.00000000000001,-24.091188949275015,-24.09118894927501,-21.465039509351623,-5.625886585585476e-05,-5.625886585585476e-05,-2.626205698789249,-23.215805802633884,-0.8754394055069868,23.232305809332047,23.269158740799096,24.091188949340705,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1911,985,986,1018,0.0007250000000000001,5.1e-06,0.0007250000000000001,5.1750000000000004e-06,0.00075,5.1e-06,0.0007333333333333333,5.125e-06,7.333333333333333,51.25,-36.17681942914113,-31.236886205066313,-31.23688620506631,4.939897283688653,-3.594038616510537e-05,-3.594038616510537e-05,-32.88353061309125,1.6466084676387744,32.92473090289136,32.99543414668096,36.5125300298689,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1912,985,1017,1018,0.0007250000000000001,5.1e-06,0.00075,5.025e-06,0.00075,5.1e-06,0.0007416666666666666,5.0750000000000005e-06,7.416666666666666,50.75000000000001,-31.23688620506631,-31.236886205066313,-27.371076809534397,-4.732380182529917e-05,-4.732380182529917e-05,-3.8658567193337396,-29.948283073222342,-1.2886504556457967,29.975995046548363,30.03883517398724,31.23688620510216,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1913,986,987,1019,0.0007250000000000001,5.1750000000000004e-06,0.0007250000000000001,5.2500000000000006e-06,0.00075,5.1750000000000004e-06,0.0007333333333333333,5.2e-06,7.333333333333333,52.0,-50.24638076853618,-42.236449522599486,-42.236449522599486,8.009909320299826,-2.1925636861143107e-05,-2.1925636861143107e-05,-44.90642660457838,2.6699551563420347,44.985728969632824,45.11790498503356,50.88081590989032,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1914,986,1018,1019,0.0007250000000000001,5.1750000000000004e-06,0.00075,5.1e-06,0.00075,5.1750000000000004e-06,0.0007416666666666666,5.150000000000001e-06,7.416666666666666,51.50000000000001,-42.236449522599486,-42.236449522599486,-36.20971941917695,-3.595816156076374e-05,-3.595816156076374e-05,-6.026766061584094,-40.22753948812531,-2.0089459926357383,40.27767119968591,40.39358046318832,42.23644952261479,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
