vg,vd,id_raw,id_abs
-1.95,2.5,-3.77275504e-10,3.77275504e-10
-1.9,2.5,-3.93992203e-10,3.93992203e-10
-1.85,2.5,-4.1582565e-10,4.1582565e-10
-1.8,2.5,-4.44339129e-10,4.44339129e-10
-1.75,2.5,-4.81572132e-10,4.81572132e-10
-1.7,2.5,-5.30184716e-10,5.30184716e-10
-1.65,2.5,-5.936453e-10,5.936453e-10
-1.6,2.5,-6.76474773e-10,6.76474773e-10
-1.55,2.5,-7.84563564e-10,7.84563564e-10
-1.5,2.5,-9.25583133e-10,9.25583133e-10
-1.45,2.5,-1.10951942e-09,1.10951942e-09
-1.4,2.5,-1.3493636e-09,1.3493636e-09
-1.35,2.5,-1.66200546e-09,1.66200546e-09
-1.3,2.5,-2.06938677e-09,2.06938677e-09
-1.25,2.5,-2.59998817e-09,2.59998817e-09
-1.2,2.5,-3.29074183e-09,3.29074183e-09
-1.15,2.5,-4.18948639e-09,4.18948639e-09
-1.1,2.5,-5.35810985e-09,5.35810985e-09
-1.05,2.5,-6.8765611e-09,6.8765611e-09
-1.0,2.5,-8.84795305e-09,8.84795305e-09
-0.95,2.5,-1.14050292e-08,1.14050292e-08
-0.9,2.5,-1.47183218e-08,1.47183218e-08
-0.85,2.5,-1.90063925e-08,1.90063925e-08
-0.8,2.5,-2.45486119e-08,2.45486119e-08
-0.75,2.5,-3.17010038e-08,3.17010038e-08
-0.7,2.5,-4.09157392e-08,4.09157392e-08
-0.65,2.5,-5.27649137e-08,5.27649137e-08
-0.6,2.5,-6.79692613e-08,6.79692613e-08
-0.55,2.5,-8.74324325e-08,8.74324325e-08
-0.5,2.5,-1.12281375e-07,1.12281375e-07
-0.45,2.5,-1.43913178e-07,1.43913178e-07
-0.4,2.5,-1.84048436e-07,1.84048436e-07
-0.35,2.5,-2.34790787e-07,2.34790787e-07
-0.3,2.5,-2.98691643e-07,2.98691643e-07
-0.25,2.5,-3.78818465e-07,3.78818465e-07
-0.2,2.5,-4.78824008e-07,4.78824008e-07
-0.15,2.5,-6.03013084e-07,6.03013084e-07
-0.1,2.5,-7.56402371e-07,7.56402371e-07
-0.05,2.5,-9.44767982e-07,9.44767982e-07
-2.28983499e-15,2.5,-1.17467464e-06,1.17467464e-06
0.05,2.5,-1.45347971e-06,1.45347971e-06
0.1,2.5,-1.78930481e-06,1.78930481e-06
0.15,2.5,-2.19096769e-06,2.19096769e-06
0.2,2.5,-2.6678678e-06,2.6678678e-06
0.25,2.5,-3.22982129e-06,3.22982129e-06
0.3,2.5,-3.88684535e-06,3.88684535e-06
0.35,2.5,-4.64889814e-06,4.64889814e-06
0.4,2.5,-5.52558768e-06,5.52558768e-06
0.45,2.5,-6.52586985e-06,6.52586985e-06
0.5,2.5,-7.6577593e-06,7.6577593e-06
0.55,2.5,-8.92807766e-06,8.92807766e-06
0.6,2.5,-1.03422593e-05,1.03422593e-05
0.65,2.5,-1.19042281e-05,1.19042281e-05
0.7,2.5,-1.36163498e-05,1.36163498e-05
0.75,2.5,-1.54794571e-05,1.54794571e-05
0.8,2.5,-1.74929375e-05,1.74929375e-05
0.85,2.5,-1.96548694e-05,1.96548694e-05
0.9,2.5,-2.19621915e-05,2.19621915e-05
0.95,2.5,-2.441089e-05,2.441089e-05
1.0,2.5,-2.69961898e-05,2.69961898e-05
1.05,2.5,-2.97127401e-05,2.97127401e-05
1.1,2.5,-3.25547859e-05,3.25547859e-05
1.15,2.5,-3.55163203e-05,3.55163203e-05
1.2,2.5,-3.85912164e-05,3.85912164e-05
1.25,2.5,-4.17733367e-05,4.17733367e-05
1.3,2.5,-4.50566223e-05,4.50566223e-05
1.35,2.5,-4.84351618e-05,4.84351618e-05
1.4,2.5,-5.1903244e-05,5.1903244e-05
1.45,2.5,-5.54553944e-05,5.54553944e-05
1.5,2.5,-5.90864011e-05,5.90864011e-05
1.55,2.5,-6.27913284e-05,6.27913284e-05
1.6,2.5,-6.65655243e-05,6.65655243e-05
1.65,2.5,-7.04046197e-05,7.04046197e-05
1.7,2.5,-7.43045244e-05,7.43045244e-05
1.75,2.5,-7.82614183e-05,7.82614183e-05
1.8,2.5,-8.22717406e-05,8.22717406e-05
1.85,2.5,-8.63321775e-05,8.63321775e-05
1.9,2.5,-9.04396485e-05,9.04396485e-05
1.95,2.5,-9.45912923e-05,9.45912923e-05
2.0,2.5,-9.8784453e-05,9.8784453e-05
2.05,2.5,-0.000103016666,0.000103016666
2.1,2.5,-0.000107285643,0.000107285643
2.15,2.5,-0.000111589263,0.000111589263
2.2,2.5,-0.000115925555,0.000115925555
2.25,2.5,-0.000120292691,0.000120292691
2.3,2.5,-0.00012468897,0.00012468897
2.35,2.5,-0.000129112812,0.000129112812
2.4,2.5,-0.000133549938,0.000133549938
2.45,2.5,-0.00013802527,0.00013802527
2.5,2.5,-0.000142524009,0.000142524009
2.55,2.5,-0.000147044969,0.000147044969
2.6,2.5,-0.000151587047,0.000151587047
2.65,2.5,-0.000156149209,0.000156149209
2.7,2.5,-0.000160730489,0.000160730489
2.75,2.5,-0.000165329984,0.000165329984
2.8,2.5,-0.000169946847,0.000169946847
2.85,2.5,-0.000174580284,0.000174580284
2.9,2.5,-0.000179229549,0.000179229549
2.95,2.5,-0.000183893944,0.000183893944
3.0,2.5,-0.000188572808,0.000188572808
3.05,2.5,-0.000193265523,0.000193265523
3.1,2.5,-0.000197971503,0.000197971503
3.15,2.5,-0.000202690199,0.000202690199
3.2,2.5,-0.000207421089,0.000207421089
