state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,31,16,17,18,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,8.333333333333334e-06,3.625e-06,0.08333333333333334,36.25,-0.3666920159510223,-0.36669201595101647,-0.3666920159510164,5.8666086832232205e-15,0.0,0.0,-0.36669201595101836,1.9555362277410736e-15,0.36669201595101836,0.36669201595101836,0.3666920159510223,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,32,17,18,19,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,1.6666666666666667e-05,3.6500000000000006e-06,0.16666666666666669,36.50000000000001,-0.4018682237028575,-0.4018682237028574,-0.3668119033905012,-0.0049061595139186145,-0.004906159513918614,-0.039962479826274926,-0.39018278359873876,-0.016591599618037384,0.39053538353745293,0.39092622941511684,0.401898170714008,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,33,17,19,74,2.5e-05,3.6000000000000003e-06,2.5e-05,3.6750000000000004e-06,5e-05,3.6000000000000003e-06,3.3333333333333335e-05,3.625e-06,0.33333333333333337,36.25,-0.12279042121561548,-0.11406279547035522,-0.11406279547035521,0.003821466231341643,-0.0049061595139186145,-0.004906159513918614,-0.11697200405210863,-0.0019969509321651952,0.1169890488250588,0.11706213114809429,0.12284987239092093,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,34,17,73,74,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,5e-05,3.6000000000000003e-06,4.1666666666666665e-05,3.575e-06,0.41666666666666663,35.75,-0.11406279547035521,-0.11406279547035522,-0.10578104196838359,3.1175171412219366e-06,3.1175171412219366e-06,-0.008278635984830411,-0.111302210969698,-0.0027574669835159892,0.11133636329119226,0.11141002992325977,0.11406279551295856,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,35,18,19,20,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,0.0,3.7500000000000005e-06,8.333333333333334e-06,3.7000000000000006e-06,0.08333333333333334,37.00000000000001,-0.40186822370286485,-0.4018682237028574,-0.4018682237028575,7.305588171560992e-15,0.0,0.0,-0.4018682237028599,2.435196057186997e-15,0.4018682237028599,0.4018682237028599,0.40186822370286485,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,36,19,20,21,2.5e-05,3.6750000000000004e-06,0.0,3.7500000000000005e-06,2.5e-05,3.7500000000000005e-06,1.6666666666666667e-05,3.7250000000000003e-06,0.16666666666666669,37.25,-0.4395854694339887,-0.43958546943398874,-0.4019981291696121,-0.0057144819847005845,-0.0057144819847005845,-0.04330182224907723,-0.42705635601252984,-0.018243595406159465,0.42744585620174663,0.42785626180078,0.43962261115854095,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,37,19,21,75,2.5e-05,3.6750000000000004e-06,2.5e-05,3.7500000000000005e-06,5e-05,3.6750000000000004e-06,3.3333333333333335e-05,3.7000000000000006e-06,0.33333333333333337,37.00000000000001,-0.14253863294879665,-0.13242739995172473,-0.13242739995172473,0.004396751012371316,-0.0057144819847005845,-0.0057144819847005845,-0.1357978109507487,-0.0023440709856766178,0.1358180405093564,0.13590256781393106,0.1426064279840729,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,38,19,74,75,2.5e-05,3.6750000000000004e-06,5e-05,3.6000000000000003e-06,5e-05,3.6750000000000004e-06,4.1666666666666665e-05,3.6500000000000006e-06,0.41666666666666663,36.50000000000001,-0.13242739995172473,-0.13242739995172473,-0.12283066459134916,3.743013831756677e-06,3.7430138317566764e-06,-0.00959299234654383,-0.12922848816493288,-0.0031951687729601056,0.12926798233469067,0.1293531660799754,0.13242740000462222,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,39,20,21,22,0.0,3.7500000000000005e-06,2.5e-05,3.7500000000000005e-06,0.0,3.825000000000001e-06,8.333333333333334e-06,3.7750000000000003e-06,0.08333333333333334,37.75,-0.4395854694339843,-0.43958546943398874,-0.4395854694339887,-4.427629194885449e-15,0.0,0.0,-0.4395854694339872,-1.4758763982951498e-15,0.4395854694339872,0.4395854694339872,0.43958546943398874,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,40,21,22,23,2.5e-05,3.7500000000000005e-06,0.0,3.825000000000001e-06,2.5e-05,3.825000000000001e-06,1.6666666666666667e-05,3.800000000000001e-06,0.16666666666666669,38.00000000000001,-0.4799279017387975,-0.4799279017387975,-0.4397257921475382,-0.006572128260075621,-0.006572128260075621,-0.04677423785133489,-0.46652719854171104,-0.019972831457162044,0.4669545384462959,0.46738410419364596,0.47997289896125567,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
