mesh_role,mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
reference,interface_8x,T01_DC_EXTRACTION,-0.5,0.01,-1.1489933827913314e-14,1.1489933827912953e-14,-6.893960296747989e-17,6.893960296747772e-17,-3.612982945912234e-28,3.144476721993783e-14,-0.4769319050150291,81651433.20130734,0.07670049199805362,True
reference,interface_8x,T01_DC_EXTRACTION,-0.475,0.01,-3.020329075128754e-14,3.020329075128019e-14,-1.8121974450772522e-16,1.8121974450768114e-16,-7.345872749418062e-27,2.432143176022935e-13,-0.4519319053186745,214755832.99595568,0.037555408001935575,True
reference,interface_8x,T01_DC_EXTRACTION,-0.45,0.01,-7.939279527758889e-14,7.939279527753549e-14,-4.763567716655334e-16,4.76356771665213e-16,-5.340272783984162e-26,6.726394712911212e-13,-0.4269319061173086,564840809.2269832,0.03558165399954305,True
reference,interface_8x,T01_DC_EXTRACTION,-0.425,0.01,-2.086875443111279e-13,2.0868754431104594e-13,-1.2521252658667674e-15,1.2521252658662757e-15,-8.196580349608401e-26,3.927680675272258e-13,-0.40193190821783814,1485617747.7614996,0.03677313099979074,True
reference,interface_8x,T01_DC_EXTRACTION,-0.4,0.01,-5.485278413483554e-13,5.485278413481356e-13,-3.291167048090132e-15,3.291167048088814e-15,-2.1971985020939798e-25,4.005628040124581e-13,-0.3769319137425494,3907400728.6146784,0.044698767000227235,True
reference,interface_8x,T01_DC_EXTRACTION,-0.375,0.01,-1.4417337674613428e-12,1.4417337674604352e-12,-8.650402604768057e-15,8.650402604762612e-15,-9.075560724641861e-25,6.294893640885195e-13,-0.351931928273367,10277052400.063911,0.03800353499900666,True
reference,interface_8x,T01_DC_EXTRACTION,-0.35,0.01,-3.789242454360955e-12,3.789242454358762e-12,-2.2735454726165728e-14,2.2735454726152573e-14,-2.192351740692302e-24,5.785725688175939e-13,-0.32693196649152995,27030162056.3267,0.036113818001467735,True
reference,interface_8x,T01_DC_EXTRACTION,-0.325,0.01,-9.95854620712269e-12,9.958546207118978e-12,-5.975127724273614e-14,5.975127724271387e-14,-3.712619233685269e-24,3.728073512406738e-13,-0.3019320670104707,71093105196.67247,0.035104498001601314,True
reference,interface_8x,T01_DC_EXTRACTION,-0.3,0.01,-2.617029045009432e-11,2.6170290450075748e-11,-1.5702174270056594e-13,1.5702174270045449e-13,-1.85727896912297e-23,7.096898571549006e-13,-0.27693233138638484,186983494290.10895,0.034659617998840986,True
reference,interface_8x,T01_DC_EXTRACTION,-0.275,0.01,-6.876669811800542e-11,6.876669811802802e-11,-4.1260018870803255e-13,4.126001887081681e-13,2.2592370480354568e-23,3.2853650238634486e-13,-0.25193302670747114,491780548765.01355,0.035291133001010166,True
reference,interface_8x,T01_DC_EXTRACTION,-0.25,0.01,-1.8066847882870435e-10,1.806684788287329e-10,-1.0840108729722261e-12,1.0840108729723974e-12,2.8537731133079455e-23,1.5795633703282675e-13,-0.22693485532067842,1293360366593.2515,0.036286849001044175,True
reference,interface_8x,T01_DC_EXTRACTION,-0.225,0.01,-4.745421022080027e-10,4.745421022044481e-10,-2.847252613248016e-12,2.8472526132266886e-12,-3.554601887293498e-21,7.490593291415552e-12,-0.20193966357923288,3401073818566.301,0.03374731499934569,True
reference,interface_8x,T01_DC_EXTRACTION,-0.2,0.01,-1.245807288911396e-09,1.2458072889112522e-09,-7.474843733468376e-12,7.474843733467513e-12,-1.4372263143108856e-22,1.1536505903467255e-13,-0.17695230132131812,8940823905525.695,0.036405464001290966,True
reference,interface_8x,T01_DC_EXTRACTION,-0.175,0.01,-3.267099896494537e-09,3.2670998964898835e-09,-1.9602599378967224e-11,1.96025993789393e-11,-4.653718126223334e-21,1.4244186812948636e-12,-0.15198548076075993,23484750206047.527,0.039317753002251266,True
reference,interface_8x,T01_DC_EXTRACTION,-0.15,0.01,-8.54671887717492e-09,8.546718877222035e-09,-5.1280313263049525e-11,5.1280313263332214e-11,4.711455332979535e-20,5.512589568771347e-12,-0.1270723389535553,61556449065402.99,0.03552737599966349,True
reference,interface_8x,T01_DC_EXTRACTION,-0.125,0.01,-2.222547648289771e-08,2.22254764828976e-08,-1.3335285889738627e-10,1.3335285889738562e-10,-1.0918784085699965e-22,4.912733409383535e-15,-0.10229802376266323,160466072612863.34,0.04307076999975834,True
reference,interface_8x,T01_DC_EXTRACTION,-0.1,0.01,-5.69720468263511e-08,5.6972046826347314e-08,-3.418322809581066e-10,3.418322809580839e-10,-3.785178483042655e-21,6.643922228351304e-14,-0.0778734733477579,412582286559450.8,0.0436510180006735,True
reference,interface_8x,T01_DC_EXTRACTION,-0.075,0.01,-1.4128012441472888e-07,1.412801244147221e-07,-8.476807464883733e-10,8.476807464883327e-10,-6.776263578034403e-21,4.796331830896913e-14,-0.05427670518482945,1026858393241748.5,0.048011005001171725,True
reference,interface_8x,T01_DC_EXTRACTION,-0.05,0.01,-3.2745887728368706e-07,3.2745887728368663e-07,-1.9647532637021224e-09,1.96475326370212e-09,-4.235164736271502e-22,1.293342471397548e-15,-0.032395933033650584,2389635037783509.5,0.04326686200147378,True
reference,interface_8x,T01_DC_EXTRACTION,-0.025,0.01,-6.796914597676796e-07,6.796914597676817e-07,-4.078148758606078e-09,4.07814875860609e-09,2.117582368135751e-21,3.115505333639972e-15,-0.013349820841558195,4979742738359785.0,0.0424897470002179,True
reference,interface_8x,T01_DC_EXTRACTION,0.0,0.01,-1.2325129239684204e-06,1.2325129239684312e-06,-7.395077543810523e-09,7.395077543810587e-09,1.079967007749233e-20,8.76231791770562e-15,0.0021923282250442644,9060533222238284.0,0.042738001997349784,True
reference,interface_8x,T01_DC_EXTRACTION,0.025,0.01,-1.9684906354940988e-06,1.968490635494099e-06,-1.1810943812964593e-08,1.1810943812964595e-08,4.235164736271502e-22,2.1514782239278767e-16,0.014408360146396446,1.4501174996312878e+16,0.0429853740024555,True
reference,interface_8x,T01_DC_EXTRACTION,0.05,0.01,-2.8429118668663893e-06,2.842911866866385e-06,-1.7057471201198336e-08,1.705747120119831e-08,-4.235164736271502e-21,1.489727763154237e-15,0.023956735542754324,2.0944889922557924e+16,0.04142212599981576,True
reference,interface_8x,T01_DC_EXTRACTION,0.075,0.01,-3.8123103836385608e-06,3.812310383638585e-06,-2.2873862301831366e-08,2.287386230183151e-08,2.414043899674756e-20,6.332233361782886e-15,0.03151517927582245,2.802350130520421e+16,0.0435491779971926,True
reference,interface_8x,T01_DC_EXTRACTION,0.1,0.01,-4.84399265910544e-06,4.843992659105429e-06,-2.9063955954632638e-08,2.9063955954632572e-08,-1.1011428314305904e-20,2.2732132538655477e-15,0.03760978991547347,3.5441921558876404e+16,0.04638881600112654,True
reference,interface_8x,T01_DC_EXTRACTION,0.125,0.01,-5.915231317216006e-06,5.915231317216001e-06,-3.5491387903296036e-08,3.5491387903296e-08,-5.082197683525802e-21,8.591714188309597e-16,0.04261466414601205,4.298358856740903e+16,0.04504858100335696,True
reference,interface_8x,T01_DC_EXTRACTION,0.15,0.01,-7.010393594376381e-06,7.01039359437638e-06,-4.206236156625828e-08,4.206236156625828e-08,-8.470329472543003e-22,1.208253054341736e-16,0.04679169073993118,5.0494927316591176e+16,0.04266534900307306,True
reference,interface_8x,T01_DC_EXTRACTION,0.175,0.01,-8.118567628960944e-06,8.118567628960985e-06,-4.871140577376567e-08,4.8711405773765906e-08,4.0657581468206416e-20,5.007974722433861e-15,0.050326380548381636,5.7869383488251016e+16,0.04371572899981402,True
reference,interface_8x,T01_DC_EXTRACTION,0.2,0.01,-9.231968722219075e-06,9.231968722219097e-06,-5.539181233331445e-08,5.539181233331458e-08,2.202285662861181e-20,2.3854994845907748e-15,0.053352922731434695,6.5034969770881256e+16,0.03514294900014647,True
reference,interface_8x,T01_DC_EXTRACTION,0.225,0.01,-1.0344923387926102e-05,1.034492338792612e-05,-6.206954032755661e-08,6.206954032755672e-08,1.8634724839594607e-20,1.8013400525849976e-15,0.055970603726082244,7.194505869757181e+16,0.03609265399791184,True
reference,interface_8x,T01_DC_EXTRACTION,0.25,0.01,-1.1453222640563489e-05,1.145322264056355e-05,-6.871933584338093e-08,6.87193358433813e-08,6.098637220230962e-20,5.324822027497828e-15,0.0582544728118496,7.857158754935318e+16,0.03511073800109443,True
reference,interface_8x,T01_DC_EXTRACTION,0.275,0.01,-1.2553702636583402e-05,1.2553702636583522e-05,-7.532221581950041e-08,7.532221581950114e-08,1.2027867851011065e-19,9.581131718031866e-15,0.06026235638741442,8.490000169861584e+16,0.03851640300126746,True
reference,interface_8x,T01_DC_EXTRACTION,0.3,0.01,-1.3643965428454728e-05,1.3643965428454695e-05,-8.186379257072836e-08,8.186379257072818e-08,-3.218725199566341e-20,2.3590833738508555e-15,0.062039565705192354,9.092546835838566e+16,0.04040492299827747,True
reference,interface_8x,T01_DC_EXTRACTION,0.325,0.01,-1.472218753361826e-05,1.4722187533618572e-05,-8.833312520170956e-08,8.833312520171144e-08,3.1170812458958252e-19,2.1172677217824278e-14,0.06362212910263748,9.665003693715461e+16,0.03792760600117617,True
reference,interface_8x,T01_DC_EXTRACTION,0.35,0.01,-1.5786984880400678e-05,1.5786984880400732e-05,-9.472190928240407e-08,9.472190928240439e-08,5.421010862427522e-20,3.4338481372447584e-15,0.06503906171643502,1.0208051441658614e+17,0.03542360899882624,True
reference,interface_8x,T01_DC_EXTRACTION,0.375,0.01,-1.6837314942869864e-05,1.6837314942869633e-05,-1.0102388965721919e-07,1.010238896572178e-07,-2.303929616531697e-19,1.3683474023911083e-14,0.06631399338600893,1.0722688432924965e+17,0.03733263199683279,True
reference,interface_8x,T01_DC_EXTRACTION,0.4,0.01,-1.787240410165281e-05,1.787240410165298e-05,-1.0723442460991686e-07,1.0723442460991787e-07,1.6940658945086007e-19,9.478668257908964e-15,0.0674663590217969,1.1210113942613984e+17,0.0350910559973272,True
reference,interface_8x,T01_DC_EXTRACTION,0.425,0.01,-1.8891692588823612e-05,1.8891692588823968e-05,-1.1335015553294168e-07,1.1335015553294381e-07,3.5575383784680614e-19,1.8831231567745528e-14,0.06851228430842295,1.1671642839469918e+17,0.03592863299854798,True
reference,interface_8x,T01_DC_EXTRACTION,0.45,0.01,-1.9894792008415644e-05,1.9894792008415922e-05,-1.1936875205049387e-07,1.1936875205049554e-07,2.778268066994105e-19,1.3964800767049177e-14,0.06946525503572443,1.2108643992174458e+17,0.035859079001966165,True
reference,interface_8x,T01_DC_EXTRACTION,0.475,0.01,-2.0881452063956e-05,2.088145206395536e-05,-1.2528871238373601e-07,1.2528871238373218e-07,-6.403569081242511e-19,3.066630166153949e-14,0.07033662996254125,1.252249651234577e+17,0.03665872700003092,True
reference,interface_8x,T01_DC_EXTRACTION,0.5,0.01,-2.18515341692568e-05,2.1851534169256098e-05,-1.311092050155408e-07,1.3110920501553658e-07,-7.013432803265607e-19,3.2095837065449134e-14,0.07113603866599989,1.2914559316592474e+17,0.03642718599803629,True
reference,interface_8x,T01_DC_EXTRACTION,0.525,0.01,-2.280499030043352e-05,2.280499030043348e-05,-1.368299418026011e-07,1.368299418026009e-07,-3.7269449679189215e-20,1.634267289229267e-15,0.07187169359085716,1.3286150563968571e+17,0.0355878139998822,True
reference,interface_8x,T01_DC_EXTRACTION,0.55,0.01,-2.374184590258799e-05,2.3741845902588205e-05,-1.4245107541552794e-07,1.4245107541552923e-07,2.168404344971009e-19,9.133259283494135e-15,0.07255063723805795,1.363853435751982e+17,0.03592815400043037,True
