parameter_group_id,changed_parameter,channel_length_um,channel_length_cm,sweep_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P4,channel_length_um,10.0,0.001,24,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.7,0.01,-2.6880027442441277e-05,2.6880027442442047e-05,-1.6128016465464766e-07,1.612801646546523e-07,7.691059161069047e-19,2.861254207250287e-14,0.07180167864808575,1.3251305666177562e+17,0.03867718200035597,True
P4,channel_length_um,10.0,0.001,25,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.75,0.01,-2.85314494905187e-05,2.8531449490519663e-05,-1.711886969431122e-07,1.7118869694311798e-07,9.622294280808852e-19,3.372522059913611e-14,0.07268487779972853,1.3709339733937157e+17,0.04115958399961528,True
P4,channel_length_um,10.0,0.001,26,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.8,0.01,-3.012342820263897e-05,3.012342820263873e-05,-1.807405692158338e-07,1.807405692158324e-07,-2.371692252312041e-19,7.873248145455995e-15,0.07346531051699728,1.4127112492585208e+17,0.039516535999609914,True
P4,channel_length_um,10.0,0.001,27,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.85,0.01,-3.165787043737222e-05,3.165787043737322e-05,-1.899472226242333e-07,1.899472226242393e-07,1.0028870095490916e-18,3.167891572280707e-14,0.07415946144285523,1.4509259459244374e+17,0.04152161599995452,True
P4,channel_length_um,10.0,0.001,28,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.9,0.01,-3.3136863501807014e-05,3.313686350180507e-05,-1.988211810108421e-07,1.9882118101083043e-07,-1.9447876468958736e-18,5.868955119393907e-14,0.07478054131688958,1.4859810845960803e+17,0.03972962900024868,True
P4,channel_length_um,10.0,0.001,29,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.95,0.01,-3.456258546147579e-05,3.456258546147611e-05,-2.073755127688547e-07,2.0737551276885667e-07,3.2526065174565133e-19,9.410773164183302e-15,0.07533924759837274,1.518226833779193e+17,0.04186452100020688,True
P4,channel_length_um,10.0,0.001,30,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,-3.593724333278649e-05,3.593724333278673e-05,-2.1562345999671894e-07,2.156234599967204e-07,2.439454888092385e-19,6.7880968651448835e-15,0.07584432558886496,1.5479676378982486e+17,0.03947143599998526,True
P4,channel_length_um,12.0,0.0012000000000000001,0,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.5,0.01,-1.7366148208221476e-10,1.7366148211813934e-10,-1.0419688924932885e-12,1.0419688927088361e-12,3.5924583250148703e-20,2.0686558016192524e-10,-0.2391189466633881,807312008656.8043,0.07453280600020662,True
P4,channel_length_um,12.0,0.0012000000000000001,1,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.45,0.01,-4.0923048282543257e-10,4.092304828468362e-10,-2.4553828969525956e-12,2.455382897081017e-12,2.1403608542539298e-20,5.230208755135693e-11,-0.21412109489101663,2123166127186.2976,0.07829359500010469,True
P4,channel_length_um,12.0,0.0012000000000000001,2,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.4,0.01,-9.718744263720623e-10,9.718744263682928e-10,-5.831246558232374e-12,5.831246558209757e-12,-3.769462051404147e-21,3.878548451444781e-12,-0.18912625294816884,5583085325558.522,0.06541683000068588,True
P4,channel_length_um,12.0,0.0012000000000000001,3,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.35,0.01,-2.3276094349587486e-09,2.327609434967008e-09,-1.3965656609752491e-11,1.3965656609802048e-11,8.259398416341981e-21,3.548446870967015e-12,-0.16413874790991148,14677019245961.125,0.06872687300074176,True
