case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0250,0.16,0.016,0.02619943488831958,0.026200901839662116,1.4669513425345782e-06,3.365470581550831e-08,3.365383403096325e-08,8.717845450599776e-13
v100_t050_r0250,0.17,0.017,0.02596738412740282,0.025968837638917684,1.4535115148636701e-06,3.383384106760534e-08,3.383297005137338e-08,8.710162319600918e-13
v100_t050_r0250,0.18,0.018,0.02573825766698351,0.025739697503058274,1.4398360747638894e-06,3.40112145168663e-08,3.4010344686285055e-08,8.698305812470837e-13
v100_t050_r0250,0.19,0.019000000000000003,0.02551202733677521,0.025513453283646258,1.4259468710461909e-06,3.418682926868881e-08,3.418596102315966e-08,8.682455291546313e-13
v100_t050_r0250,0.2,0.020000000000000004,0.02528866456383244,0.025290076428786126,1.4118649536848382e-06,3.436068921093579e-08,3.435982293219481e-08,8.662787409783659e-13
v100_t050_r0250,0.21,0.021,0.02506814041437964,0.025069538024954267,1.397610574625785e-06,3.453279897844984e-08,3.453193503086475e-08,8.639475850891663e-13
v100_t050_r0250,0.22,0.022000000000000002,0.024850425634009042,0.02485180883720012,1.3832031910791798e-06,3.470316391820725e-08,3.470230264909792e-08,8.612691093287328e-13
v100_t050_r0250,0.23,0.023000000000000003,0.024635490686257665,0.02463685934772874,1.3686614710739509e-06,3.487179005515553e-08,3.48709317951349e-08,8.58260020634474e-13
v100_t050_r0250,0.24,0.024,0.024423305789577694,0.024424659792879038,1.354003301343859e-06,3.503868405877271e-08,3.5037829122105564e-08,8.549366671459359e-13
v100_t050_r0250,0.25,0.025,0.024213840952719685,0.024215180198516456,1.3392457967713323e-06,3.520385321038088e-08,3.520300189535798e-08,8.513150228986523e-13
v100_t050_r0250,0.26,0.026000000000000002,0.024007066008550314,0.024008390413862393,1.3244053120795019e-06,3.536730537124207e-08,3.536645796056725e-08,8.474106748208648e-13
v100_t050_r0250,0.27,0.027000000000000003,0.02380295064633099,0.02380426014378586,1.3094974548703842e-06,3.552904895145976e-08,3.552820571264756e-08,8.432388121985513e-13
v100_t050_r0250,0.28,0.028000000000000004,0.02360146444248593,0.023602758979585588,1.2945370996587935e-06,3.568909287970449e-08,3.568825406548654e-08,8.388142179470156e-13
v100_t050_r0250,0.29,0.028999999999999998,0.023402576889890454,0.023403856428293998,1.279538403543834e-06,3.584744657377879e-08,3.584661242251701e-08,8.34151261775067e-13
v100_t050_r0250,0.3,0.03,0.023206257425713434,0.023207521940535974,1.2645148225395864e-06,3.600411991203216e-08,3.600329064813663e-08,8.292638955329568e-13
v100_t050_r0250,0.31,0.031,0.023012475457848375,0.023013724936977654,1.2494791292796958e-06,3.615912320563375e-08,3.6158299039983844e-08,8.241656499036553e-13
v100_t050_r0250,0.32,0.032,0.022821200389970583,0.022822434833401094,1.2344434305103236e-06,3.631246717170697e-08,3.631164830207432e-08,8.188696326558469e-13
v100_t050_r0250,0.33,0.033,0.022632401645257722,0.022633621064443943,1.2194191862206771e-06,3.646416290732757e-08,3.6463349518799225e-08,8.133885283461447e-13
v100_t050_r0250,0.34,0.034,0.02244604868881306,0.022447253106041332,1.2044172282739407e-06,3.661422186438363e-08,3.661341412978426e-08,8.077345993712644e-13
v100_t050_r0250,0.35000000000000003,0.035,0.02226211104883113,0.02226330049661115,1.1894477800200587e-06,3.676265582529386e-08,3.6761853905605743e-08,8.01919688118694e-13
v100_t050_r0250,0.36,0.036,0.022080558336545722,0.02208173285702164,1.1745204759189276e-06,3.690947687957816e-08,3.690868092435817e-08,7.959552199908659e-13
v100_t050_r0250,0.37,0.037,0.021901360265001352,0.021902519909382665,1.1596443813127744e-06,3.705469740127233e-08,3.7053907549064474e-08,7.898522078586972e-13
v100_t050_r0250,0.38,0.038000000000000006,0.021724486666688154,0.02172563149470027,1.1448280121152676e-06,3.719833002717736e-08,3.719754640592057e-08,7.836212567930634e-13
v100_t050_r0250,0.39,0.03900000000000001,0.021549907510081772,0.021551037589436307,1.1300793545353238e-06,3.734038763593165e-08,3.733961036336167e-08,7.772725699741761e-13
