family_id,primary_gate_v,fixed_secondary_gate_v,forward_abs_drain_current_a_per_cm,reverse_abs_drain_current_a_per_cm,relative_current_difference,forward_center_channel_potential_v,reverse_center_channel_potential_v,center_channel_potential_difference_v,forward_center_channel_electron_density_cm3,reverse_center_channel_electron_density_cm3,center_density_relative_difference
bottom_primary,0.45,0.0,1.7699657872945415e-05,1.7699657872945405e-05,5.742707254578215e-16,0.06486366097371234,0.06486366097371234,0.0,1.0144894339019602e+17,1.01448943390196e+17,1.5771480180390162e-16
bottom_primary,0.5,0.0,1.9657256978320098e-05,1.965725697832011e-05,5.170810646806859e-16,0.06672518770326498,0.06672518770326497,1.3877787807814457e-17,1.089887709671996e+17,1.0898877096719957e+17,2.936082287745998e-16
bottom_primary,0.55,0.0,2.1555910427151843e-05,2.155591042715181e-05,1.5717878400299474e-15,0.06829649421206158,0.06829649421206159,1.3877787807814457e-17,1.1578688929258672e+17,1.157868892925867e+17,1.381849024337197e-16
bottom_primary,0.6,0.0,2.33929671186173e-05,2.3392967118617245e-05,2.3173677947476825e-15,0.06963798865793094,0.06963798865793096,1.3877787807814457e-17,1.2192435109110219e+17,1.2192435109110218e+17,1.3122891249217934e-16
bottom_primary,0.65,0.0,2.5167565654034705e-05,2.5167565654034654e-05,2.0193441643852654e-15,0.07079490921126308,0.07079490921126311,2.7755575615628914e-17,1.2747692582965552e+17,1.2747692582965546e+17,5.020516425499759e-16
bottom_primary,0.7,0.0,2.6880027442441918e-05,2.688002744244208e-05,6.050229160705444e-15,0.07180167864808573,0.0718016786480857,2.7755575615628914e-17,1.3251305666177554e+17,1.3251305666177554e+17,0.0
bottom_primary,0.75,0.0,2.8531449490519636e-05,2.8531449490519504e-05,4.631280293543344e-15,0.0726848777997285,0.07268487779972854,4.163336342344337e-17,1.3709339733937146e+17,1.3709339733937147e+17,1.1670875702636777e-16
bottom_primary,0.8,0.0,3.0123428202638708e-05,3.0123428202638867e-05,5.286323754806187e-15,0.07346531051699726,0.07346531051699724,1.3877787807814457e-17,1.4127112492585192e+17,1.4127112492585197e+17,3.397721935405656e-16
bottom_primary,0.85,0.0,3.165787043737318e-05,3.1657870437373254e-05,2.3545140064248474e-15,0.07415946144285523,0.07415946144285522,1.3877787807814457e-17,1.4509259459244368e+17,1.4509259459244368e+17,0.0
bottom_primary,0.9,0.0,3.3136863501805015e-05,3.313686350180533e-05,9.406687647809527e-15,0.07478054131688956,0.07478054131688952,4.163336342344337e-17,1.4859810845960787e+17,1.485981084596079e+17,2.1534594438460347e-16
bottom_primary,0.95,0.0,3.4562585461476085e-05,3.456258546147632e-05,6.862022098883616e-15,0.07533924759837272,0.0753392475983727,2.7755575615628914e-17,1.5182268337791917e+17,1.5182268337791917e+17,0.0
bottom_primary,1.0,0.0,3.593724333278717e-05,3.593724333278717e-05,0.0,0.07584432558886489,0.07584432558886489,0.0,1.5479676378982477e+17,1.5479676378982477e+17,0.0
