point_uid,case_id,curve_kind,curve_id,vtg_v,vbg_v,external_vds_v,r_pair_w_kohm_um,r_pair_ohm,circuit_coupled,circuit_closure_applicable,external_source_v,internal_source_v,internal_drain_v,external_drain_v,internal_device_vds_v,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:008,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.1,0.0,0.01,0.5,8.333333333333334,True,False,0.0,6.035494764609679e-09,0.009999993964505235,0.01,0.00999998792901047,-1.4485187435063248e-09,1.4485187435062847e-09,-1.448518743506323e-09,1.4485187437018874e-09,-1.448518743506323e-09,1.4485187437018874e-09,-1.8611563782443123e-24,-1.9560277906495504e-19,1.284868688505297e-15,1.3503641559036055e-10,6.035494764609679e-09,6.035494765424532e-09,1.2070989530034211e-08,-8.1485231270353735e-19,6.750501362138298e-11,0.0,1.7485054588103463e-17
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:009,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.05,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.4008984131592203e-08,0.009999985991015868,0.01,0.009999971982031735,-3.3621561915821187e-09,3.362156191582126e-09,-3.3621561915821286e-09,3.3621561917884787e-09,-3.3621561915821286e-09,3.3621561917884787e-09,9.926167350636332e-24,-2.0635261151054105e-19,2.9523218985151846e-15,6.137508186399069e-11,1.4008984131592203e-08,1.4008984132451996e-08,2.80179682640442e-08,-8.597913810223182e-19,3.068714236853906e-11,0.0,9.420078547739854e-17
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:010,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.0,0.0,0.01,0.5,8.333333333333334,True,False,0.0,2.9827238542820134e-08,0.009999970172761457,0.01,0.009999940345522913,-7.1585372502768205e-09,7.158537250276833e-09,-7.158537250276832e-09,7.15853725047344e-09,-7.158537250276832e-09,7.15853725047344e-09,1.1580528575742387e-23,-1.9660676953344128e-19,1.61772275129176e-15,2.746465690605136e-11,2.9827238542820134e-08,2.9827238543639334e-08,5.965447708645947e-08,-8.191999740031161e-19,1.3732413961228245e-11,0.0,4.270387963750701e-16
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:011,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.05,0.0,0.01,0.5,8.333333333333334,True,False,0.0,5.608835641984472e-08,0.00999994391164358,0.01,0.009999887823287161,-1.3461205540762693e-08,1.3461205540762752e-08,-1.3461205540762731e-08,1.3461205540660213e-08,-1.3461205540762731e-08,1.3461205540660213e-08,3.8050308177439273e-23,1.0253896309329842e-19,2.8266642287138933e-15,7.617368502605024e-12,5.608835641984472e-08,5.608835641941756e-08,1.1217671283926228e-07,4.271560683223835e-19,3.807885411426294e-12,0.0,1.5100337884106771e-15
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:012,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.1,0.0,0.01,0.5,8.333333333333334,True,False,0.0,9.25090006917427e-08,0.009999907490999308,0.01,0.009999814981998615,-2.220216016601837e-08,2.2202160166018227e-08,-2.2202160166018247e-08,2.2202160166184814e-08,-2.2202160166018247e-08,2.2202160166184814e-08,-1.224227306578481e-22,-1.6658755792327935e-19,5.5140008784020414e-15,7.50321395199202e-12,9.25090006917427e-08,9.250900069243673e-08,1.8501800138417942e-07,-6.940376211564923e-19,3.751189700253864e-12,0.0,4.107799300343547e-15
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:013,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.15,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.3654731206530937e-07,0.009999863452687935,0.01,0.00999972690537587,-3.277135489567384e-08,3.277135489567432e-08,-3.277135489567425e-08,3.27713548955999e-08,-3.277135489567425e-08,3.27713548955999e-08,4.1028158382630173e-22,7.441978535017079e-20,1.2519518498164324e-14,2.2708791133928336e-12,1.3654731206530937e-07,1.365473120649996e-07,2.73094624130309e-07,3.0980230045826035e-19,1.1344137638917273e-12,0.0,8.949680847464968e-15
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:014,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.2,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.8531704534230316e-07,0.009999814682954657,0.01,0.009999629365909314,-4.447609088215288e-08,4.4476090882152716e-08,-4.4476090882152756e-08,4.4476090882289426e-08,-4.4476090882152756e-08,4.4476090882289426e-08,-1.257314531080602e-22,-1.36709794197864e-19,2.826944783461467e-15,3.0737816990184816e-12,1.8531704534230316e-07,1.8531704534287263e-07,3.706340906851758e-07,-5.694708383509068e-19,1.5364772228514512e-12,0.0,1.6484355501363254e-14
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:015,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.25,0.0,0.01,0.5,8.333333333333334,True,False,0.0,2.3655615402176612e-07,0.009999763443845979,0.01,0.009999526887691958,-5.677347696522333e-08,5.677347696522397e-08,-5.677347696522386e-08,5.6773476965060736e-08,-5.677347696522386e-08,5.6773476965060736e-08,5.293955920339377e-22,1.6323251335876427e-19,9.32469914354928e-15,2.875154422174121e-12,2.3655615402176612e-07,2.3655615402108643e-07,4.7311230804285255e-07,6.796910006123726e-19,1.4366377476504142e-12,0.0,2.6860230722596193e-14
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:016,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.3,0.0,0.01,0.5,8.333333333333334,True,True,0.0,2.8871946490932144e-07,0.009999711280535091,0.01,0.009999422561070182,-6.929267157823672e-08,6.929267157823729e-08,-6.929267157823715e-08,6.929267157812502e-08,-6.929267157823715e-08,6.929267157812502e-08,4.235164736271502e-22,1.1227157018059734e-19,6.111995164581944e-15,1.6202517181608914e-12,2.8871946490932144e-07,2.8871946490885425e-07,5.774389298181756e-07,4.6703279129233985e-19,8.088003201297831e-13,0.0,4.001228612034721e-14
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:017,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,0.35,0.0,0.01,0.5,8.333333333333334,True,True,0.0,3.40805645813719e-07,0.009999659194354187,0.01,0.009999318388708373,-8.179335499529252e-08,8.179335499529264e-08,-8.179335499529256e-08,8.179335499527984e-08,-8.179335499529256e-08,8.179335499527984e-08,3.970466940254533e-23,1.2798138437420444e-20,4.854265900308215e-16,1.5646917085326798e-13,3.40805645813719e-07,3.40805645813666e-07,6.81611291627385e-07,5.293955920339377e-20,7.766825440493748e-14,0.0,5.5751274344874255e-14
