route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.13,0.013000000000000001,0.02691340771282375,3.310671068648203e-08,3.310671068648203e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.14,0.014000000000000002,0.02667241971706985,3.329114161053329e-08,3.3291141610533287e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.15,0.015,0.02643443767389612,3.347380647371901e-08,3.347380647371901e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.16,0.016,0.02619943488831958,3.365470581550831e-08,3.365470581550831e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.17,0.017,0.02596738412740282,3.383384106760534e-08,3.3833841067605343e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.18,0.018,0.02573825766698351,3.40112145168663e-08,3.4011214516866304e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.19,0.019000000000000003,0.02551202733677521,3.418682926868881e-08,3.4186829268688816e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.2,0.020000000000000004,0.02528866456383244,3.436068921093579e-08,3.4360689210935794e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.21,0.021,0.02506814041437964,3.453279897844984e-08,3.4532798978449843e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.22,0.022000000000000002,0.024850425634009042,3.470316391820725e-08,3.4703163918207254e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.23,0.023000000000000003,0.024635490686257665,3.487179005515553e-08,3.4871790055155535e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.24,0.024,0.024423305789577694,3.503868405877271e-08,3.503868405877271e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.25,0.025,0.024213840952719685,3.520385321038088e-08,3.520385321038088e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.26,0.026000000000000002,0.024007066008550314,3.536730537124207e-08,3.5367305371242073e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.27,0.027000000000000003,0.02380295064633099,3.552904895145976e-08,3.552904895145976e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.28,0.028000000000000004,0.02360146444248593,3.568909287970449e-08,3.5689092879704493e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.29,0.028999999999999998,0.023402576889890454,3.584744657377879e-08,3.584744657377879e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.3,0.03,0.023206257425713434,3.600411991203216e-08,3.6004119912032165e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.31,0.031,0.023012475457848375,3.615912320563375e-08,3.615912320563375e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.32,0.032,0.022821200389970583,3.631246717170697e-08,3.6312467171706975e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.33,0.033,0.022632401645257722,3.646416290732757e-08,3.6464162907327572e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.34,0.034,0.02244604868881306,3.661422186438363e-08,3.6614221864383633e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.35000000000000003,0.035,0.02226211104883113,3.676265582529386e-08,3.6762655825293863e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.36,0.036,0.022080558336545722,3.690947687957816e-08,3.690947687957816e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.37,0.037,0.021901360265001352,3.705469740127233e-08,3.7054697401272333e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.38,0.038000000000000006,0.021724486666688154,3.719833002717736e-08,3.7198330027177363e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.39,0.03900000000000001,0.021549907510081772,3.734038763593165e-08,3.7340387635931646e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.4,0.04000000000000001,0.021377592915127842,3.74808833278936e-08,3.748088332789361e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.41000000000000003,0.04100000000000001,0.021207513167712334,3.761983040582012e-08,3.761983040582012e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.42,0.042,0.021039638733156542,3.775724235632659e-08,3.7757242356326586e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.43,0.043000000000000003,0.020873940268776862,3.789313283211147e-08,3.7893132832111476e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.44,0.044000000000000004,0.020710388635547583,3.802751563492923e-08,3.8027515634929234e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.45,0.045000000000000005,0.020548954908904623,3.816040469929389e-08,3.81604046992939e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.46,0.046000000000000006,0.020389610388728024,3.829181407689505e-08,3.8291814076895055e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.47000000000000003,0.04700000000000001,0.020232326608538694,3.842175792170822e-08,3.842175792170823e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.48,0.048,0.020077075343945802,3.855025047578033e-08,3.8550250475780335e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.49,0.049,0.019923828620378923,3.8677306055671414e-08,3.867730605567142e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.5,0.05,0.019772558720138795,3.880293903953353e-08,3.8802939039533535e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.51,0.051000000000000004,0.019623238188799373,3.892716385480725e-08,3.892716385480726e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.52,0.052000000000000005,0.019475839840992753,3.904999496651699e-08,3.904999496651699e-09,True
