row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
65,train_t01_single_idvd_vgs_1p0:004,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,scored,0.2,0.2,2.0417057839146633e-31,0.00046825230492225607,0.00046825230492225607,16.670479923821013
66,train_t02_dual_secondary_m0p3:000,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.5,0.01,1.0208528919573316e-32,2.0430009118148651e-13,2.0430009118148651e-13,7.3102685604631255
67,train_t02_dual_secondary_m0p3:001,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.45,0.01,1.0208528919573316e-32,6.0489167544345879e-13,6.0489167544345879e-13,7.7816776077610346
68,train_t02_dual_secondary_m0p3:002,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.4,0.01,1.0208528919573316e-32,1.7908505972152873e-12,1.7908505972152873e-12,8.253059356082737
69,train_t02_dual_secondary_m0p3:003,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.35,0.01,1.0208528919573316e-32,5.3013938924984498e-12,5.3013938924984498e-12,8.7243900734177728
70,train_t02_dual_secondary_m0p3:004,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.3,0.01,1.0208528919573316e-32,1.569008925476439e-11,1.569008925476439e-11,9.1956254141249492
71,train_t02_dual_secondary_m0p3:005,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.25,0.01,1.0208528919573316e-32,4.6417586731565354e-11,4.6417586731565354e-11,9.6666825575673609
72,train_t02_dual_secondary_m0p3:006,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.2,0.01,1.0208528919573316e-32,1.3721670256760029e-10,1.3721670256760029e-10,10.137406978655294
73,train_t02_dual_secondary_m0p3:007,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.15,0.01,1.0208528919573316e-32,4.0505210798521018e-10,4.0505210798521018e-10,10.607510896683173
74,train_t02_dual_secondary_m0p3:008,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,-0.1,0.01,1.0208528919573316e-32,1.1925049618873182e-09,1.1925049618873182e-09,11.076460194769425
