row_index,row_uid,curve_id,dataset_id,split,kind,topology,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,model_current_a_per_cm,w_um,l_um,temperature_k,route,source_current_a,current_a_per_cm,finite_current
42,train_t01_single_idvg_l10:042,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.5,0.0,0.01,0.5,2.185511545854263e-05,2.4866834502099505e-05,60.0,10.0,300.0,ngspice,-1.017541214433904e-07,1.6959020240565064e-05,True
43,train_t01_single_idvg_l10:043,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.525,0.0,0.01,0.525,2.2808823092092458e-05,2.5784163730993308e-05,60.0,10.0,300.0,ngspice,-1.053394037986138e-07,1.7556567299768965e-05,True
44,train_t01_single_idvg_l10:044,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.55,0.0,0.01,0.55,2.3745920844987868e-05,2.6689791344936548e-05,60.0,10.0,300.0,ngspice,-1.08874694623619e-07,1.8145782437269831e-05,True
45,train_t01_single_idvg_l10:045,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.575,0.0,0.01,0.575,2.4666491936367426e-05,2.7584414745751193e-05,60.0,10.0,300.0,ngspice,-1.1236397291905019e-07,1.8727328819841698e-05,True
46,train_t01_single_idvg_l10:046,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.6,0.0,0.01,0.6,2.557066788670198e-05,2.846865487873989e-05,60.0,10.0,300.0,ngspice,-1.158106461514667e-07,1.9301774358577782e-05,True
47,train_t01_single_idvg_l10:047,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.7,0.0,0.01,0.7,2.902725974192924e-05,3.1912174563491465e-05,60.0,10.0,300.0,ngspice,-1.2922447617515371e-07,2.153741269585895e-05,True
48,train_t01_single_idvg_l10:048,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.8,0.0,0.01,0.8,3.223944525686692e-05,3.5226101220664233e-05,60.0,10.0,300.0,ngspice,-1.4213470680445449e-07,2.3689117800742417e-05,True
49,train_t01_single_idvg_l10:049,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.9,0.0,0.01,0.9,3.522508862349955e-05,3.8430870593874e-05,60.0,10.0,300.0,ngspice,-1.546280891997219e-07,2.577134819995365e-05,True
50,train_t01_single_idvg_l10:050,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,1.0,0.0,0.01,1.0,3.8002708377239875e-05,4.1541764820800267e-05,60.0,10.0,300.0,ngspice,-1.667646901570724e-07,2.7794115026178732e-05,True
51,train_t01_single_idvd_vgs_0p0:000,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,zero_vds_invariant,False,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,300.0,ngspice,0,0,True
52,train_t01_single_idvd_vgs_0p0:001,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,repeated_low_vds_audit,False,0.0,0.0,0.01,0.01,1.2325117540658337e-06,1.4441717838661932e-06,60.0,10.0,300.0,ngspice,-1.301395717634004e-08,2.1689928627233399e-06,True
53,train_t01_single_idvd_vgs_0p0:002,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.0,0.0,0.05,0.05,4.039328969169728e-06,4.1452841289773015e-06,60.0,10.0,300.0,ngspice,-3.9443549274537689e-08,6.5739248790896144e-06,True
54,train_t01_single_idvd_vgs_0p0:003,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.0,0.0,0.1,0.1,4.990186125465876e-06,4.754883900953434e-06,60.0,10.0,300.0,ngspice,-4.6190606687370658e-08,7.6984344478951088e-06,True
55,train_t01_single_idvd_vgs_0p0:004,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,scored,True,0.0,0.0,0.2,0.2,5.190756321362378e-06,4.825608302543401e-06,60.0,10.0,300.0,ngspice,-4.7029944066668038e-08,7.838324011111339e-06,True
56,train_t01_single_idvd_vgs_0p5:000,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,zero_vds_invariant,False,0.5,0.0,0.0,0.0,1.486014091315591e-20,0.0,60.0,10.0,300.0,ngspice,0,0,True
57,train_t01_single_idvd_vgs_0p5:001,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,repeated_low_vds_audit,False,0.5,0.0,0.01,0.01,2.1855115458542673e-05,2.4866834502099505e-05,60.0,10.0,300.0,ngspice,-1.017541214433904e-07,1.6959020240565064e-05,True
