route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.89,0.17800000000000002,0.058311329217345775,2.1431842820546432e-07,4.286368564109287e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.9,0.18000000000000002,0.05784853509919888,2.1559868843072925e-07,4.311973768614585e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.91,0.18200000000000002,0.0573951205058456,2.1685644823530864e-07,4.337128964706173e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.92,0.18400000000000002,0.056950849004061714,2.1809215036451918e-07,4.361843007290384e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.93,0.18600000000000003,0.05651548852762327,2.1930623706226256e-07,4.386124741245252e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.9400000000000001,0.18800000000000003,0.05608881155574686,2.2049914901792272e-07,4.4099829803584544e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.9500000000000001,0.19000000000000003,0.0556705952549192,2.2167132443060806e-07,4.4334264886121615e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.96,0.192,0.05526062158783577,2.228231981817266e-07,4.4564639636345323e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.97,0.194,0.05485867739291159,2.2395520110725408e-07,4.4791040221450815e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.98,0.196,0.054464554437566357,2.250677593614782e-07,4.5013551872295646e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.99,0.198,0.05407804944823999,2.2616129386443583e-07,4.523225877288717e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,1.0,0.2,0.05369896411984976,2.2723621982571798e-07,4.5447243965143597e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.0,0.0,0.09120002461603703,4.577182706633474e-08,9.154365413266949e-09,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.01,0.002,0.08943299037056843,4.695308376198567e-08,9.390616752397135e-09,True
