state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,272,142,162,163,0.00015000000000000001,4.2000000000000004e-06,0.000175,4.125e-06,0.000175,4.2000000000000004e-06,0.00016666666666666666,4.175000000000001e-06,1.6666666666666665,41.75000000000001,-3.307877920175438,-3.3078779201754376,-3.358616507845967,-5.110434992439272e-05,-5.1104349924392716e-05,0.05068748332060544,-3.324790782732281,0.016861758206918886,3.324833539868028,3.324918269748981,3.358998968106542,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,273,143,144,164,0.00015000000000000001,4.5e-06,0.00015000000000000001,4.8e-06,0.000175,4.5e-06,0.00015833333333333335,4.6e-06,1.5833333333333335,46.0,-2.889471660596789,-2.99108576997289,-2.99108576997289,-0.101647791280698,-3.368190459710352e-05,-3.368190459710352e-05,-2.957214400180856,-0.03390505169663074,2.9574087578769985,2.95781018851203,2.991085770162532,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,274,143,163,164,0.00015000000000000001,4.5e-06,0.000175,4.2000000000000004e-06,0.000175,4.5e-06,0.00016666666666666666,4.4e-06,1.6666666666666665,44.0,-2.99108576997289,-2.99108576997289,-3.1420793570879257,-4.5417349306609444e-05,-4.5417349306609444e-05,0.15094816976572925,-3.041416965677902,0.05028577835570535,3.0418326414545254,3.042624882481782,3.145703106809938,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,275,144,145,165,0.00015000000000000001,4.8e-06,0.00015000000000000001,5.1e-06,0.000175,4.8e-06,0.00015833333333333335,4.9e-06,1.5833333333333335,49.0,-2.7345333445361373,-2.7904145496102535,-2.7904145496102535,-0.055901856184802,-2.065111068604209e-05,-2.065111068604209e-05,-2.7717874812522147,-0.018647719468724695,2.771850208555268,2.7719779276367107,2.79041454968667,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,276,144,164,165,0.00015000000000000001,4.8e-06,0.000175,4.5e-06,0.000175,4.8e-06,0.00016666666666666666,4.7e-06,1.6666666666666665,47.0,-2.7904145496102535,-2.7904145496102535,-2.887092160639823,-3.373922975797136e-05,-3.373922975797136e-05,0.09664387179981161,-2.822640419953443,0.03219213111343189,2.8228239891393465,2.823179452815688,2.888709258818613,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,277,145,146,166,0.00015000000000000001,5.1e-06,0.00015000000000000001,5.4e-06,0.000175,5.1e-06,0.00015833333333333335,5.2e-06,1.5833333333333335,52.0,-2.661250692060089,-2.679018665331741,-2.679018665331741,-0.017774923912056508,-6.950640404570776e-06,-6.950640404570776e-06,-2.673096007574524,-0.005929608397621883,2.6731025842579643,2.673115794291936,2.6790186653407577,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,278,145,165,166,0.00015000000000000001,5.1e-06,0.000175,4.8e-06,0.000175,5.1e-06,0.00016666666666666666,5e-06,1.6666666666666665,50.00000000000001,-2.679018665331741,-2.679018665331741,-2.7332124451489412,-2.068706897993806e-05,-2.068706897993806e-05,0.05417309274822037,-2.6970832586041413,0.018043906203420165,2.6971436161972933,2.6972621955842335,2.7337492559294754,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,279,146,166,167,0.00015000000000000001,5.4e-06,0.000175,5.1e-06,0.000175,5.4e-06,0.00016666666666666666,5.3e-06,1.6666666666666665,53.0,-2.6432788665825275,-2.6432788665825275,-2.6608269001250004,-6.9628638277577735e-06,-6.9628638277577735e-06,0.017541070678645385,-2.649128211096685,0.005842381650329956,2.6491346534768048,2.649147483671642,2.6608847178315282,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,280,147,148,168,0.000175,3e-06,0.000175,3.075e-06,0.0002,3e-06,0.00018333333333333334,3.0250000000000003e-06,1.8333333333333333,30.250000000000004,-7.346423075475221,-7.651784471700354,-7.651784471700354,-0.305369801808485,-8.405583353425134e-06,-8.405583353425134e-06,-7.5499973396253095,-0.10179553765839729,7.550683555800522,7.552111984841428,7.65178447170497,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,281,148,149,169,0.000175,3.075e-06,0.000175,3.1500000000000003e-06,0.0002,3.075e-06,0.00018333333333333334,3.1000000000000004e-06,1.8333333333333333,31.000000000000004,-6.792375313193219,-7.056362221544395,-7.056362221544395,-0.2640085467611689,-2.1638409993562855e-05,-2.1638409993562855e-05,-6.9683665854273364,-0.088017274527052,6.968922435320644,6.970076203572795,7.056362221577572,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
