state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-3.994706533607141e-09,-3.994706533607141e-09,-3.994706533607141e-09,0.0,0.0,0.0,-3.994706533607141e-09,0.0,3.994706533607141e-09,3.994706533607141e-09,3.994706533607141e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,14,7,44,45,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-4.246925191737893e-09,-4.246925191737893e-09,-4.220956150509416e-09,7.414420797673928e-13,7.414420797673928e-13,-2.522759914870854e-11,-4.238268844661734e-09,-7.914904996391251e-12,4.238276235139872e-09,4.238294017426792e-09,4.2469252564595825e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-4.253607468180118e-09,-4.253500760306017e-09,-4.253500760306017e-09,1.0670787410166597e-13,0.0,0.0,-4.253536329597384e-09,3.556929136722199e-14,4.2535363297461045e-09,4.253536330043537e-09,4.253607469518578e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-4.315080793059766e-09,-4.315080793059766e-09,-4.253789206706339e-09,8.187854876351599e-13,8.187854876351599e-13,-6.047280086579256e-11,-4.29465026427529e-09,-1.9611743296840747e-11,4.294695043063589e-09,4.294793591259423e-09,4.315080870741935e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,17,9,11,46,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-4.335395123275377e-09,-4.304335271510514e-09,-4.304335271510514e-09,3.187863725249624e-11,8.187854876351599e-13,8.187854876351599e-13,-4.314688555432136e-09,1.117206940925552e-11,4.3147030193875375e-09,4.314727674675881e-09,4.3355123252544205e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,18,9,45,46,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-4.304335271510514e-09,-4.304335271510514e-09,-4.2788869460971734e-09,9.923674669569446e-13,9.923674669569446e-13,-2.4455957946385098e-11,-4.295852496372735e-09,-7.490407670823736e-12,4.2958590266440225e-09,4.295875868764663e-09,4.304335385906015e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-4.314917070171692e-09,-4.315080793059766e-09,-4.315080793059766e-09,-1.6372288807419033e-13,0.0,0.0,-4.315026218763742e-09,-5.457429602473011e-14,4.315026219108856e-09,4.315026219799111e-09,4.315080793059766e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-4.37524725036317e-09,-4.37524725036317e-09,-4.315094173494691e-09,9.54912981057755e-13,9.54912981057755e-13,-5.919816388742244e-11,-4.355196224740344e-09,-1.9096112641768975e-11,4.35523808964683e-09,4.35533164304321e-09,4.375247354569714e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,21,11,13,47,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-4.390748684244716e-09,-4.360456691974102e-09,-4.360456691974102e-09,3.1246905251672557e-11,9.54912981057755e-13,9.54912981057755e-13,-4.370554022730974e-09,1.1052243737929355e-11,4.37056799714883e-09,4.370591153570659e-09,4.390859867643753e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,22,11,46,47,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-4.360456691974102e-09,-4.360456691974102e-09,-4.335561789126557e-09,1.2182563731688926e-12,1.2182563731688926e-12,-2.367664647437648e-11,-4.352158391024921e-09,-7.0800445760128984e-12,4.352164149891388e-09,4.352180054144434e-09,4.3604568621567995e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-4.375059253581101e-09,-4.37524725036317e-09,-4.37524725036317e-09,-1.879967820696538e-13,0.0,0.0,-4.375184584769147e-09,-6.266559402321794e-14,4.3751845852179255e-09,4.375184586115521e-09,4.37524725036317e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
